82,Private,132870,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,18,United-States,0
54,Private,140359,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,40,United-States,0
41,Private,264663,10,Separated,Prof-specialty,Own-child,White,Female,0,3900,40,United-States,0
34,Private,216864,9,Divorced,Other-service,Unmarried,White,Female,0,3770,45,United-States,0
74,State-gov,88638,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States,1
68,Federal-gov,422013,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,40,United-States,0
45,Private,172274,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States,1
52,Private,129177,13,Widowed,Other-service,Not-in-family,White,Female,0,2824,20,United-States,1
29,Private,77009,7,Separated,Sales,Not-in-family,White,Female,0,2754,42,United-States,0
61,Private,29059,9,Divorced,Sales,Unmarried,White,Female,0,2754,25,United-States,0
59,Self-emp-inc,107287,6,Widowed,Exec-managerial,Unmarried,White,Female,0,2559,50,United-States,1
63,Federal-gov,39181,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,1
51,Private,197163,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,1
37,Self-emp-not-inc,137527,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,60,United-States,1
54,Private,161691,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States,1
43,Private,115806,14,Divorced,Exec-managerial,Unmarried,White,Female,0,2547,40,United-States,1
51,Private,115066,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,40,United-States,1
43,Private,289669,14,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,40,United-States,1
48,Private,121253,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,70,United-States,1
50,Private,237729,9,Widowed,Sales,Not-in-family,White,Female,0,2444,72,United-States,1
42,Private,107276,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,40,United-States,1
38,Private,237608,13,Never-married,Sales,Not-in-family,White,Female,0,2444,45,United-States,1
44,Private,162028,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,6,United-States,1
39,Private,179731,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United-States,1
31,Self-emp-not-inc,252752,9,Married-civ-spouse,Other-service,Wife,White,Female,0,2415,40,United-States,1
41,Self-emp-inc,114580,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,55,United-States,1
50,Private,102346,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,20,United-States,1
49,Self-emp-inc,158685,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,40,United-States,1
27,Private,156516,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,2377,20,United-States,0
46,Private,214955,3,Divorced,Craft-repair,Not-in-family,White,Female,0,2339,45,United-States,0
60,State-gov,358893,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,2339,40,United-States,0
25,Private,77071,13,Never-married,Prof-specialty,Own-child,White,Female,0,2339,35,United-States,0
59,Local-gov,171328,9,Separated,Protective-serv,Other-relative,Black,Female,0,2339,40,United-States,0
56,Self-emp-not-inc,346635,14,Divorced,Sales,Unmarried,White,Female,0,2339,60,United-States,0
42,Private,191765,9,Never-married,Adm-clerical,Other-relative,Black,Female,0,2339,40,Trinadad&Tobago,0
40,Self-emp-not-inc,33310,15,Divorced,Other-service,Not-in-family,White,Female,0,2339,35,United-States,0
55,Local-gov,176046,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2267,40,United-States,0
40,Private,287983,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines,0
29,Private,135296,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States,1
23,Private,102942,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,1
38,Local-gov,162613,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2258,60,United-States,0
57,Private,121362,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,1
49,State-gov,269417,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,1
48,Private,175070,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,40,United-States,1
55,Local-gov,99131,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,2246,40,United-States,1
31,Private,327825,9,Separated,Machine-op-inspct,Unmarried,White,Female,0,2238,40,United-States,0
28,Private,129460,6,Widowed,Adm-clerical,Unmarried,White,Female,0,2238,35,United-States,0
68,Private,166149,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,30,United-States,0
65,Private,149811,9,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,59,Canada,0
67,Private,118363,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,5,United-States,0
66,Local-gov,362165,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,25,United-States,0
35,Private,108293,10,Never-married,Adm-clerical,Own-child,White,Female,0,2205,40,United-States,0
20,Private,107801,12,Never-married,Other-service,Own-child,White,Female,0,2205,18,United-States,0
